,epoch_id,subject_id,session,channel,delta,theta,alpha,beta,gamma,dominant_band
0,0,0,baseline,EEG Fp1,0.4954043509842192,0.2067651044709799,0.10691935854388701,0.14953656083169342,0.04137462516922046,delta
1,0,0,baseline,EEG Fp2,0.47332417697062507,0.217361322438719,0.07488196487961948,0.18118791777017687,0.05324461794085952,delta
2,0,0,baseline,EEG F3,0.5052531696589736,0.16763763069521298,0.1058897338712672,0.18509143337094802,0.03612803240359816,delta
3,0,0,baseline,EEG F4,0.5772145828298474,0.10377791035428516,0.044716252382081476,0.22893283081292357,0.0453584236208624,delta
4,0,0,baseline,EEG F7,0.5576897519574152,0.162592086783898,0.09400498026185224,0.15709326139085145,0.02861991960598303,delta
5,0,0,baseline,EEG F8,0.5357613495091441,0.12224135761417257,0.06426146360167181,0.2314668016148633,0.04626902766014828,delta
6,0,0,baseline,EEG T3,0.21003115215925422,0.3940134661189227,0.08692706120099654,0.27682076571797193,0.03220755480285462,theta
7,0,0,baseline,EEG T4,0.3256907569354548,0.15184199759504122,0.06293163737099822,0.4176072034645696,0.04192840463393614,beta
8,0,0,baseline,EEG C3,0.3349465780698821,0.11594114875542028,0.21385803031166456,0.2742691121832076,0.06098513067982549,delta
9,0,0,baseline,EEG C4,0.40202464346944383,0.09674370093934213,0.14709040430066156,0.30644788995714667,0.04769336133340568,delta
10,0,0,baseline,EEG T5,0.33098741979570695,0.09842609923219159,0.3005378666014118,0.2333908821596987,0.036657732210990814,delta
11,0,0,baseline,EEG T6,0.44915545581526506,0.15486419338659227,0.09837201814536314,0.28137361993515314,0.01623471271762634,delta
12,0,0,baseline,EEG P3,0.5064024463192127,0.1059244079171154,0.1682478473446112,0.20518758268357346,0.014237715735487006,delta
13,0,0,baseline,EEG P4,0.4475030021510792,0.07274779418688469,0.1412089075894722,0.31648034503084577,0.022059951041718193,delta
14,0,0,baseline,EEG O1,0.6160373880973077,0.08849059994864943,0.09250337682783434,0.1907241146034751,0.01224452052273346,delta
15,0,0,baseline,EEG O2,0.5327270748277781,0.06107186771347688,0.13155686565861813,0.27277918676044693,0.001865005039679893,delta
16,0,0,baseline,EEG Fz,0.5559268279564616,0.11296271883573566,0.048960582481257564,0.23496456617003755,0.04718530455650764,delta
17,0,0,baseline,EEG Cz,0.16474252698461733,0.2617791338667565,0.43034599139573537,0.11175379705362436,0.03137855069926643,alpha
18,0,0,baseline,EEG Pz,0.6278380409952337,0.046535719212893796,0.13467891220130296,0.16709372872764472,0.023853598862925002,delta
19,0,0,baseline,EEG A2-A1,0.21955631990681446,0.1502892042364124,0.32783335024137517,0.29659054568673116,0.005730579928666942,alpha
20,1,0,baseline,EEG Fp1,0.352317898275076,0.27850195888139523,0.1526318627268577,0.17308718023691033,0.043461099879760774,delta
21,1,0,baseline,EEG Fp2,0.2838716882837043,0.3293939538987942,0.16152347753953092,0.18962291284599664,0.03558796743197378,theta
22,1,0,baseline,EEG F3,0.5534924125990287,0.11987279580429054,0.16591801813454785,0.11454248421943312,0.046174289242699895,delta
23,1,0,baseline,EEG F4,0.5721229753689759,0.17896259914620144,0.11134888248435267,0.1200868184526089,0.017478724547861015,delta
24,1,0,baseline,EEG F7,0.09919575490589769,0.25281237596192446,0.26412832947268966,0.32409191113530084,0.059771628524187215,beta
25,1,0,baseline,EEG F8,0.47338703833166484,0.19342905483562836,0.14452536219996515,0.1651219471187374,0.023536597514004207,delta
26,1,0,baseline,EEG T3,0.31409909429097677,0.36702488892623625,0.18322240559299158,0.10440302480550157,0.03125058638429377,theta
27,1,0,baseline,EEG T4,0.08002636396921955,0.10490757172440394,0.7157052429828619,0.08961316318873143,0.009747658134783307,alpha
28,1,0,baseline,EEG C3,0.4410530429948097,0.20589973942948395,0.19245769932095808,0.11849757632935522,0.04209194192539312,delta
29,1,0,baseline,EEG C4,0.1931054415391006,0.2086862187917529,0.48015920951090796,0.09925526822557904,0.018793861932659656,alpha
30,1,0,baseline,EEG T5,0.36309005636886177,0.19021849121457607,0.33307274914183577,0.09771736044668893,0.015901342828037388,delta
31,1,0,baseline,EEG T6,0.07777705804792588,0.07439403867036119,0.7448296682683546,0.09734135320363412,0.005657881809724356,alpha
32,1,0,baseline,EEG P3,0.15015364043654691,0.2159068750403743,0.39616562659301896,0.20565184963737956,0.032122008292680256,alpha
33,1,0,baseline,EEG P4,0.03524623587761609,0.07205347880488278,0.7623132341171557,0.12512868506295377,0.005258366137391627,alpha
34,1,0,baseline,EEG O1,0.13932634214314396,0.20189709983633333,0.44777241337716717,0.20043313941279203,0.010571005230563429,alpha
35,1,0,baseline,EEG O2,0.026563199887381702,0.06984680089729971,0.7440490130320625,0.1577838703742393,0.001757115809016687,alpha
36,1,0,baseline,EEG Fz,0.593680648025613,0.18385814115831411,0.10370250843736634,0.10324579516676538,0.015512907211941023,delta
